asin,itemName,sku,is_fba,kitFlag,channel_name,quantity
B0064T97FA,AG-KC9120-JEE,AG-KC9120-JEE,FALSE,FALSE,Amazon US,1
B0064T97FA,AG-KC9120-JEE,AG-KC9120-JEE-FBA,TRUE,FALSE,Amazon US,1
B005JSOJXC,AG-KC9120-JEEG,AG-KC9120-JEEG,FALSE,FALSE,Amazon US,3
B005JSOJXC,AG-KC9120-JEEG,AG-KC9120-JEEG-FBA,TRUE,FALSE,Amazon US,3
B00NX27ZHS,AG-KC9120-MAZ,AG-KC9120-MAZ,FALSE,FALSE,Amazon US,3
B005JDW81C,AG-KC9120-MAZ,AG-KC9120-MAZ-FBA,TRUE,FALSE,Amazon US,3
B0064TDO54,AG-KC9120-LIN,AG-KC9120-LIN,FALSE,FALSE,Amazon US,2
B0064TDO54,AG-KC9120-LIN,AG-KC9120-LIN-FBA,TRUE,FALSE,Amazon US,2
B007JL5DIC,AG-KC9120-HHR,AG-KC9120-HHR,FALSE,FALSE,Amazon US,2
B007JL5DIC,AG-KC9120-HHR,AG-KC9120-HHR-FBA,TRUE,FALSE,Amazon US,2
B005OBQ4ZK,AG-KC9120-GRA,AG-KC9120-GRA,FALSE,FALSE,Amazon US,6
B005OBQ4ZK,AG-KC9120-GRA,AG-KC9120-GRA-FBA,TRUE,FALSE,Amazon US,6
B005JSO216,AG-KC9120-INF,AG-KC9120-INF,FALSE,FALSE,Amazon US,0
B005JSO216,AG-KC9120-INF,AG-KC9120-INF-FBA,TRUE,FALSE,Amazon US,0
B005JDU13O,AG-KC9120-HON,AG-KC9120-HON,FALSE,FALSE,Amazon US,9
B005JDU13O,AG-KC9120-HON,AG-KC9120-HON-FBA,TRUE,FALSE,Amazon US,9
B0064TGVVS,AG-KC9120-QX5,AG-KC9120-QX5,FALSE,FALSE,Amazon US,0
B0064TGVVS,AG-KC9120-QX5,AG-KC9120-QX5-FBA,TRUE,FALSE,Amazon US,0
B00OM1GI0Y,AG-KC9120-RAM,AG-KC9120-RAM,FALSE,FALSE,Amazon US,1
B00OM1GI0Y,AG-KC9120-RAM,AG-KC9120-RAM-FBA,TRUE,FALSE,Amazon US,1
B005SIGV4S,AG-KC9120-RAMH,AG-KC9120-RAMH,FALSE,FALSE,Amazon US,0
B005SIGV4S,AG-KC9120-RAMH,AG-KC9120-RAMH-FBA,TRUE,FALSE,Amazon US,0
B00652IM52,AG-KC9120-RDX,AG-KC9120-RDX,FALSE,FALSE,Amazon US,2
B00652IM52,AG-KC9120-RDX,AG-KC9120-RDX-FBA,TRUE,FALSE,Amazon US,2
B008GVSREQ,AG-KC3-ZOO,AG-KC3-ZOO,FALSE,FALSE,Amazon US,5
B008GVSREQ,AG-KC3-ZOO,AG-KC3-ZOO-FBA,TRUE,FALSE,Amazon US,5
B007JKWDFY,AG-KC9120-200,AG-KC9120-200,FALSE,FALSE,Amazon US,7
B007JKWDFY,AG-KC9120-200,AG-KC9120-200-FBA,TRUE,FALSE,Amazon US,7
B008GVS9IK,AG-KC3-WRA,AG-KC3-WRA,FALSE,FALSE,Amazon US,3
B008GVS9IK,AG-KC3-WRA,AG-KC3-WRA-FBA,TRUE,FALSE,Amazon US,3
B008M9X0DA,AG-KC3-XPL,AG-KC3-XPL,FALSE,FALSE,Amazon US,4
B008M9X0DA,AG-KC3-XPL,AG-KC3-XPL-FBA,TRUE,FALSE,Amazon US,4
B008M9WV7Q,AG-KC3-TRN,AG-KC3-TRN,FALSE,FALSE,Amazon US,0
B008M9WV7Q,AG-KC3-TRN,AG-KC3-TRN-FBA,TRUE,FALSE,Amazon US,0
B0064SMI7A,AG-KC9120-ATL,AG-KC9120-ATL,FALSE,FALSE,Amazon US,3
B0064SMI7A,AG-KC9120-ATL,AG-KC9120-ATL-FBA,TRUE,FALSE,Amazon US,3
B005JDJJS2,AG-KC9120-ACC,AG-KC9120-ACC-FBA,TRUE,FALSE,Amazon US,4
